ID_Contact,Type_Contact,Coordonnees_Contact
2dc14094-33b9-4f28-81c8-2aaae649234d,émotion,+33 (0)5 18 65 61 18
06055a5a-919d-4636-b056-5373993b094c,debout,+33 (0)3 69 10 96 25
0d2a6a88-f41b-4fa8-ae97-91c35bad5dcc,rendre,0415894575
d8719c18-5631-43b8-aad5-29742af45fa3,promettre,+33 (0)1 42 43 52 93
8c88f6e6-50fa-47aa-a691-217c186d9a3e,sentir,0177146995
0e5d465f-0d7a-40c1-a5d4-ab6c7b6b6d82,souffrance,+33 7 43 08 60 57
6ec76d6f-0c36-4ce1-98ea-4555c729719e,apparence,0532785711
5a7744ce-e332-4542-b48e-12bd3bf17944,passage,04 82 16 50 00
a0ba5924-79cf-43cb-929e-e0d6b19f87ad,égal,+33 3 29 43 14 25
907ebc3e-47d2-4f33-9598-24d7d83593d2,visite,+33 2 58 73 60 35
608ad313-cc20-4d48-9b74-593681f904ca,déclarer,+33 (0)4 23 89 66 94
f6cf7ce0-6acb-4b09-8742-7830da1ed759,confier,04 75 49 95 00
7b1dc46a-8dde-4bb4-85fc-bd0ff1420d7a,lire,+33 (0)3 90 74 78 99
8a22d7d9-7491-4637-87b7-850241000555,agent,0130435897
3a6d7afb-0076-4e1d-be51-fd5175eaaf6c,étendre,03 89 43 12 41
022a6db0-3511-4848-82b1-1f5055ae6e26,cuisine,+33 6 95 36 55 22
88a71ffb-cfff-452c-917a-18cb4abda2f5,témoin,0474046750
57233ec7-4a86-445a-b722-87422bc528bf,avec,05 58 34 61 76
1ca2bac0-85cf-4c84-983d-b6959e1e68fd,douter,06 33 77 65 30
e28a58dc-8070-4d7b-82d3-5e09ca6afd83,présenter,0257343098
e7aace5b-8a28-4c5a-b48d-211c9d183fda,seigneur,+33 2 51 99 92 00
18ec616a-aaf4-47cb-b618-203addd1093c,joli,0497883821
4a85f4dd-917f-4257-a913-e84f9ac1f666,secours,+33 5 54 22 66 64
d6055321-95fa-4ac6-ad79-f383b2ead03d,etc,07 75 81 53 20
510e7030-dec7-437a-9907-9f483534262e,pur,+33 (0)6 43 11 25 66
e998cd12-b975-437c-907d-3f4ab4448992,supposer,+33 5 56 65 38 44
bdb856f0-24d9-445e-91e5-d9263e72663c,service,0247756978
bdb47811-9a5b-4050-acfc-4844f746b00a,fleur,0535024567
5bd3d0e2-6c3e-4464-bbbc-a69fc03742bf,terreur,0601986499
538b54f4-04b5-4afa-9f9f-784cd7c1fd6e,vendre,02 52 99 85 96
a8c9056f-0ac8-4c2c-b295-06d47c932cbe,cheveu,+33 (0)1 45 62 10 01
44a1bcaf-e66c-439a-9ab3-ca0e388e5432,qualité,0594676333
6c97e58d-8f25-4fe6-9c96-e27f890f5484,vivant,0556501177
e7ec2641-e9c7-48bd-ace0-6d4798dcf4ae,surtout,03 64 86 57 08
8048e0b4-aaac-499b-a1a8-008bca850552,croiser,0426908670
d6767d51-10e5-4518-96f8-499cb2b1cc57,tracer,+33 1 39 99 27 48
fb5ef8a5-6cbf-45a0-9860-a6a13a795026,satisfaire,+33 6 64 53 64 67
ed9e87e4-c709-4aeb-a95a-1eb27488f951,cours,0478754127
d1770f9b-8ea8-4483-a298-e099bfaf8d72,cabinet,08 06 29 73 45
6408beb8-bbcb-4661-9379-5af78ae40c64,troubler,06 59 66 88 26
1f78c42a-034c-4822-86f5-0c426fadded3,étranger,+33 (0)2 45 22 19 11
7b5b1fb3-6776-4bd7-abae-b79117ec51bb,bonheur,+33 2 76 47 29 27
62cd4e32-a914-4d1c-b657-95f541a68066,faute,+33 (0)2 30 64 76 24
cce13916-5db5-4a96-bf15-bd793961bdb9,billet,0565050482
3811ac83-46d7-4579-8cf5-588490931d0e,fuir,+33 1 39 25 74 75
c5e47798-97fe-46dc-a5f8-dd1999852046,décrire,+33 2 32 06 20 53
5b77d355-ad08-4e46-96b2-4fd03c0f6294,doucement,+33 (0)3 24 50 13 58
560035b5-2d75-4c2e-8687-d1d4f5eba3f1,étroit,04 20 63 97 93
28cae8b3-d3cd-480e-94b2-cd05019476d4,lui,+33 5 47 96 04 08
0d3ee4ca-2e4a-4b02-a336-b4f994af98be,beau,+33 (0)4 88 48 64 34
62068d78-8718-4e92-b725-267d784fe0fc,poste,+33 (0)1 55 88 62 91
a837695c-fbeb-4089-b226-6fcf2a1b116a,pont,0565949372
abdb8b61-6ae1-4cdb-94b0-d9b28af57e83,françois,+33 2 40 95 32 54
232e3dc6-182a-4af8-8663-55958769e7e4,aussi,0381262960
dd019f6f-deef-402c-b1b9-e4e339752f5c,anglais,+33 3 44 33 97 51
4125cc70-9667-40cd-9454-ddcfe6318db0,cas,02 28 05 72 45
8dac5ae0-35f6-4398-9ded-ee90abecf818,dire,+33 (0)5 57 58 18 96
fa7e712b-8343-4bc9-b664-ee741102b955,nul,0353088912
0c091b2d-6248-4049-a765-258b14af0768,interroger,+33 4 68 45 70 02
61b18651-1fb1-472a-8af3-5692b05e0d24,capable,+33 (0)4 65 50 26 04
c1020d5d-9171-4c5a-ad4a-7f95185b1b3c,soi,0188189522
1f603b68-0329-4f7b-9c99-22ff81ad7c9f,prix,+33 (0)5 81 15 70 07
